"","precursor_mz","precursor_rt","precursor_intensity","mz","intensity"
"1876",698.283971625762,997.2,30959,279.229309082031,423
"1877",698.283971625762,997.2,30959,280.238159179688,186
"1878",698.283971625762,997.2,30959,654.296875,233
"1879",698.283971625762,997.2,30959,698.285827636719,256
"1880",698.283971625762,997.2,30959,698.487426757812,750
"1881",817.497070746952,1001,2027,255.231414794922,175
"1882",817.497070746952,1001,2027,279.229736328125,376
"1883",817.497070746952,1001,2027,697.477416992188,105
"1884",817.497070746952,1001,2027,742.540405273438,611
"1885",817.497070746952,1001,2027,743.545471191406,450
"1886",817.497070746952,1001,2027,770.565063476562,128
"1887",817.497070746952,1001,2027,817.502502441406,198
"1888",817.497070746952,1001,2027,817.571166992188,612
"1889",405.218824555808,992.121,2044,405.221282958984,326
"1890",405.218824555808,992.121,2044,405.281005859375,116
"1891",574.446684327155,1001,3596,574.452758789062,750
"1892",518.35479770426,999.731,3385,518.356079101562,735
"1893",518.35479770426,999.731,3385,518.391479492188,166
"1894",373.257516071797,1007.35,65716,254.423675537109,102
"1895",373.257516071797,1007.35,65716,255.23095703125,21252
"1896",423.310934716407,1007.35,1128,255.228866577148,210
"1897",423.310934716407,1007.35,1128,423.417694091797,140
"1898",497.264472437873,1007.35,2256,166.991744995117,470
"1899",557.469732145907,1007.35,2821,227.200164794922,789
"1900",842.549485771683,956.615,19581,278.225891113281,118.5
"1901",842.549485771683,956.615,19581,279.230545043945,1369
"1902",842.549485771683,956.615,19581,293.247695922852,117.5
"1903",842.549485771683,956.615,19581,443.251937866211,221.5
"1904",842.549485771683,956.615,19581,695.461700439453,505.5
"1905",842.549485771683,956.615,19581,721.479553222656,1739
"1906",842.549485771683,956.615,19581,722.487274169922,1327
"1907",842.549485771683,956.615,19581,765.531707763672,504
"1908",842.549485771683,956.615,19581,780.554504394531,1593
"1909",842.549485771683,956.615,19581,842.554382324219,539
"1910",614.540718052018,997.2,3060,283.261444091797,492
"1911",614.540718052018,997.2,3060,284.268005371094,476
"1912",669.599564465643,1007.35,5923,339.199890136719,377
"1913",669.599564465643,1007.35,5923,339.324768066406,2473
"1914",451.302967663508,997.2,15518,121.028877258301,635
"1915",613.534967005333,1007.35,32752,282.356353759766,139
"1916",613.534967005333,1007.35,32752,283.263854980469,17333
"1917",365.243839319429,1007.35,74457,34.9735641479492,116
"1918",365.243839319429,1007.35,74457,365.339691162109,116
"1919",395.385559395332,990.857,8740,395.387084960938,1652
"1920",395.384111346932,983.253,7357,395.388336181641,1261
"1921",612.383907340687,1012.44,6205,152.993667602539,116
"1922",612.383907340687,1012.44,6205,180.019866943359,140
"1923",612.383907340687,1012.44,6205,311.294555664062,256
"1924",612.383907340687,1012.44,6205,465.296966552734,500
"1925",612.383907340687,1012.44,6205,491.310455322266,166
"1926",700.522748078433,1007.35,12692,255.233673095703,431
"1927",700.522748078433,1007.35,12692,281.249267578125,1970
"1928",700.522748078433,1007.35,12692,418.268524169922,105
"1929",700.522748078433,1007.35,12692,436.28662109375,186
"1930",700.522748078433,1007.35,12692,700.532592773438,2726
"1931",878.576432662719,964.212,1927,742.540161132812,163
"1932",878.576432662719,964.212,1927,878.593139648438,256
"1933",903.547800531963,1006.08,7037,903.552124023438,384
"1934",738.501603906198,994.661,12562,279.232025146484,1913.5
"1935",738.501603906198,994.661,12562,476.274673461914,139.5
"1936",738.501603906198,994.661,12562,738.508178710938,2253.5
"1937",881.512364768221,1011.16,217392,152.995346069336,122
"1938",881.512364768221,1011.16,217392,222.998291015625,175
"1939",881.512364768221,1011.16,217392,241.009552001953,746
"1940",881.512364768221,1011.16,217392,255.229949951172,536
"1941",881.512364768221,1011.16,217392,327.2314453125,553
"1942",881.512364768221,1011.16,217392,391.222396850586,526.5
"1943",881.512364768221,1011.16,217392,881.516326904297,34738.5
"1944",881.512364768221,1011.16,217392,882.521087646484,506.5
"1945",465.390992714072,1020.06,1128,421.403045654297,105
"1946",901.538082829569,995.928,20988,743.545166015625,140
"1947",901.538082829569,995.928,20988,901.544250488281,2595
"1948",901.538082829569,995.928,20988,901.658752441406,132
"1949",543.337455966535,1007.35,3667,213.184585571289,116
"1950",895.52947797715,1020.06,7333,895.540466308594,379
"1951",372.272927007593,997.2,7868,42.0016479492188,116
"1952",778.511999865181,1012.44,33469,778.513671875,1077
"1953",391.256438899232,1016.25,2821,391.355117797852,186.5
"1954",391.257987493944,1025.15,1712,391.354400634766,622
"1955",794.507580342434,1009.89,10154,742.532287597656,105
"1956",794.507580342434,1009.89,10154,794.506774902344,420
"1957",794.507580342434,1009.89,10154,794.566528320312,176
"1958",807.496736297222,1014.98,125429,78.9569396972656,116
"1959",807.496736297222,1014.98,125429,152.995407104492,516
"1960",807.496736297222,1014.98,125429,223.00146484375,516
"1961",807.496736297222,1014.98,125429,241.011749267578,1844
"1962",807.496736297222,1014.98,125429,253.215255737305,1724
"1963",807.496736297222,1014.98,125429,255.231079101562,1911
"1964",807.496736297222,1014.98,125429,259.022918701172,186
"1965",807.496736297222,1014.98,125429,297.038391113281,378
"1966",807.496736297222,1014.98,125429,315.04931640625,140
"1967",807.496736297222,1014.98,125429,389.207580566406,373
"1968",807.496736297222,1014.98,125429,391.222290039062,1439
"1969",807.496736297222,1014.98,125429,409.231414794922,210
"1970",807.496736297222,1014.98,125429,551.258728027344,256
"1971",807.496736297222,1014.98,125429,553.277099609375,1761
"1972",807.496736297222,1014.98,125429,571.284240722656,328
"1973",807.496736297222,1014.98,125429,804.908874511719,262
"1974",807.496736297222,1014.98,125429,806.625061035156,163
"1975",807.496736297222,1014.98,125429,807.343383789062,164
"1976",807.496736297222,1014.98,125429,807.383544921875,148
"1977",807.496736297222,1014.98,125429,807.50390625,68640
"1978",807.496736297222,1014.98,125429,807.977661132812,139
"1979",807.496736297222,1014.98,125429,808.499755859375,147
"1980",847.582552885598,1001,37693,279.229705810547,447
"1981",847.582552885598,1001,37693,280.233825683594,303
"1982",847.582552885598,1001,37693,283.259338378906,256
"1983",847.582552885598,1001,37693,284.268280029297,210
"1984",847.582552885598,1001,37693,447.281066894531,186
"1985",847.582552885598,1001,37693,448.288452148438,163
"1986",847.582552885598,1001,37693,700.499084472656,543
"1987",847.582552885598,1001,37693,725.506286621094,306
"1988",847.582552885598,1001,37693,726.511108398438,1756
"1989",847.582552885598,1001,37693,727.524291992188,1058
"1990",847.582552885598,1001,37693,769.565795898438,142
"1991",847.582552885598,1001,37693,770.5693359375,525
"1992",847.582552885598,1001,37693,785.589782714844,1349
"1993",847.582552885598,1001,37693,847.507934570312,145
"1994",847.582552885598,1001,37693,847.586059570312,757
"1995",326.306635391807,1026.42,1268,183.009857177734,233
"1996",326.306635391807,1026.42,1268,184.012603759766,140
"1997",326.306635391807,1026.42,1268,326.186279296875,966
"1998",750.538469964987,975.644,39225,259.243896484375,233
"1999",750.538469964987,975.644,39225,303.232849121094,2453
"2000",750.538469964987,975.644,39225,446.301910400391,211
"2001",750.538469964987,975.644,39225,464.317077636719,601
"2002",750.538469964987,975.644,39225,748.152404785156,133
"2003",750.538469964987,975.644,39225,750.542114257812,4610
"2004",750.538482224996,987.058,54207,205.19694519043,163
"2005",750.538482224996,987.058,54207,259.241729736328,670
"2006",750.538482224996,987.058,54207,302.271881103516,113
"2007",750.538482224996,987.058,54207,303.23291015625,9372
"2008",750.538482224996,987.058,54207,446.298858642578,397
"2009",750.538482224996,987.058,54207,464.310913085938,1554
"2010",750.538482224996,987.058,54207,690.5595703125,257
"2011",750.538482224996,987.058,54207,750.541748046875,21013
"2012",339.32397114101,1008.62,13538,183.009918212891,615
"2013",339.32397114101,1008.62,13538,255.235855102539,120
"2014",339.32397114101,1008.62,13538,339.199890136719,2055
"2015",339.32397114101,1008.62,13538,339.324768066406,2632
"2016",473.381368926172,1007.35,34960,143.071395874023,107
"2017",473.381368926172,1007.35,34960,143.106887817383,7648
"2018",473.381368926172,1007.35,34960,473.278259277344,1080
"2019",871.529120985999,1025.15,60715,241.009628295898,210
"2020",871.529120985999,1025.15,60715,269.248077392578,256
"2021",871.529120985999,1025.15,60715,303.230041503906,326
"2022",871.529120985999,1025.15,60715,405.24072265625,331
"2023",871.529120985999,1025.15,60715,567.290649414062,280
"2024",871.529120985999,1025.15,60715,811.668701171875,163
"2025",871.529120985999,1025.15,60715,868.735534667969,116
"2026",871.529120985999,1025.15,60715,871.535705566406,18167
"2027",871.529120985999,1025.15,60715,871.606628417969,102
"2028",871.529120985999,1025.15,60715,872.541076660156,210
"2029",313.236107032522,1016.25,1128,313.171508789062,163
"2030",775.591513780745,1013.71,9590,328.235473632812,163
"2031",775.591513780745,1013.71,9590,715.571594238281,1658
"2032",775.591513780745,1013.71,9590,775.541564941406,381
"2033",775.591513780745,1013.71,9590,775.6005859375,401
"2034",376.275893476506,997.2,38125,45.0005302429199,140
"2035",721.496749407116,1022.59,10099,257.225524902344,186
"2036",721.496749407116,1022.59,10099,301.2138671875,491
"2037",721.496749407116,1022.59,10099,302.217407226562,396
"2038",721.496749407116,1022.59,10099,436.283447265625,116
"2039",721.496749407116,1022.59,10099,721.497375488281,1634
"2040",761.538213710802,973.11,41995,78.9583206176758,186
"2041",761.538213710802,973.11,41995,96.9743728637695,116
"2042",761.538213710802,973.11,41995,122.985420227051,116
"2043",761.538213710802,973.11,41995,124.998802185059,829
"2044",761.538213710802,973.11,41995,182.059585571289,186
"2045",761.538213710802,973.11,41995,404.252136230469,772
"2046",761.538213710802,973.11,41995,612.477966308594,125
"2047",761.538213710802,973.11,41995,614.451293945312,11093
"2048",761.538213710802,973.11,41995,640.464721679688,3516
"2049",761.538213710802,973.11,41995,641.476867675781,922
"2050",761.538213710802,973.11,41995,669.500610351562,186
"2051",761.538213710802,973.11,41995,684.51123046875,475
"2052",761.538213710802,973.11,41995,685.520568847656,260
"2053",761.538213710802,973.11,41995,699.538818359375,2188
"2054",761.538213710802,973.11,41995,761.5458984375,760
"2055",598.126133543516,1026.42,3912,61.9897041320801,116
"2056",849.536972648659,1027.7,4214,789.518005371094,186
"2057",849.536972648659,1027.7,4214,849.548583984375,609
"2058",884.533855505237,1017.52,89383,152.993850708008,116
"2059",884.533855505237,1017.52,89383,222.999633789062,124
"2060",884.533855505237,1017.52,89383,241.01203918457,686
"2061",884.533855505237,1017.52,89383,242.015289306641,124
"2062",884.533855505237,1017.52,89383,281.246856689453,412
"2063",884.533855505237,1017.52,89383,282.249847412109,287
"2064",884.533855505237,1017.52,89383,303.230255126953,513
"2065",884.533855505237,1017.52,89383,304.237182617188,303
"2066",884.533855505237,1017.52,89383,417.240631103516,383
"2067",884.533855505237,1017.52,89383,418.245391845703,318
"2068",884.533855505237,1017.52,89383,579.291076660156,303
"2069",884.533855505237,1017.52,89383,580.297912597656,396
"2070",884.533855505237,1017.52,89383,597.302429199219,101
"2071",884.533855505237,1017.52,89383,881.690734863281,148
"2072",884.533855505237,1017.52,89383,883.537292480469,124
"2073",884.533855505237,1017.52,89383,884.352111816406,104
"2074",884.533855505237,1017.52,89383,884.536926269531,53948
"2075",884.533855505237,1017.52,89383,885.537109375,171
"2076",425.359310813725,1002.27,5753,81.0352783203125,116
"2077",425.359310813725,1002.27,5753,425.361389160156,280
"2078",481.149889465604,1031.54,1410,409.306579589844,116
"2079",598.401016609199,1032.81,2062,451.317016601562,264
"2080",598.401016609199,1032.81,2062,477.330871582031,109
"2081",742.531438255136,1022.59,7897,279.232208251953,221
"2082",742.531438255136,1022.59,7897,283.261871337891,140
"2083",742.531438255136,1022.59,7897,742.541320800781,1029
"2084",771.510920223567,1020.06,8179,279.23193359375,256
"2085",771.510920223567,1020.06,8179,281.246704101562,175
"2086",771.510920223567,1020.06,8179,771.518493652344,1159
"2087",771.510920223567,1020.06,8179,771.569458007812,113
"2088",810.560071375759,1021.32,6487,303.229766845703,116
"2089",810.560071375759,1021.32,6487,750.536987304688,198
"2090",810.560071375759,1021.32,6487,810.565612792969,163
"2091",857.511117480019,1016.25,1359725,241.009841918945,210
"2092",857.511117480019,1016.25,1359725,255.231384277344,233
"2093",857.511117480019,1016.25,1359725,303.230255126953,303
"2094",857.511117480019,1016.25,1359725,391.225524902344,186
"2095",857.511117480019,1016.25,1359725,553.277709960938,210
"2096",857.511117480019,1016.25,1359725,797.656188964844,414
"2097",857.511117480019,1016.25,1359725,857.518005371094,10318
"2098",857.511117480019,1016.25,1359725,857.683471679688,107
"2099",859.527988609983,1021.32,240596,152.997116088867,151
"2100",859.527988609983,1021.32,240596,222.999359130859,105
"2101",859.527988609983,1021.32,240596,241.009567260742,562
"2102",859.527988609983,1021.32,240596,255.228851318359,233
"2103",859.527988609983,1021.32,240596,279.231811523438,280
"2104",859.527988609983,1021.32,240596,281.244201660156,326
"2105",859.527988609983,1021.32,240596,305.245483398438,315
"2106",859.527988609983,1021.32,240596,391.222442626953,221
"2107",859.527988609983,1021.32,240596,417.237457275391,303
"2108",859.527988609983,1021.32,240596,553.277404785156,303
"2109",859.527988609983,1021.32,240596,579.287414550781,373
"2110",859.527988609983,1021.32,240596,712.55908203125,151
"2111",859.527988609983,1021.32,240596,799.663940429688,280
"2112",859.527988609983,1021.32,240596,859.533447265625,38587
"2113",859.527988609983,1021.32,240596,860.536010742188,281
"2114",562.487869627447,938.646,3483,544.483337402344,140
"2115",562.487869627447,938.646,3483,562.488586425781,592
"2116",745.492814980394,1027.7,8427,121.028518676758,116
"2117",745.492814980394,1027.7,8427,255.233291625977,280
