"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7388",481.86006343669,481.854156494141,481.86669921875,974.225,968.132,987.427,19634.1857894738,19615.9063157896,2035,2034,1
"CP7389",599.427193567029,599.4248046875,599.431945800781,970.16,966.1,974.225,47544.453125,45238.0972326807,10177,26,1
"CP7390",616.444484485643,616.442199707031,616.445739746094,960.007,952.896,967.116,183643.174285715,174784.694693878,21444,28,1
"CP7391",594.431929984143,594.42822265625,594.438232421875,964.068,952.896,981.337,174692.748,169112.017773877,16283,33,1
"CP7392",634.454930556343,634.447082519531,634.457702636719,966.1,962.035,971.176,134929.285333334,131448.796036282,31012,69,1
"CP7393",660.425206923518,660.418762207031,660.429931640625,979.305,975.241,983.366,13435.703125,12312.7504595588,3392,15,1
"CP7394",712.008941394837,712.005981445312,712.012573242188,963.052,957.976,968.132,60980.6863999997,59111.137968539,10516,34,1
"CP7395",468.343146000559,468.338409423828,468.347961425781,984.381,979.305,988.441,17907.5751111113,16358.3705396827,4410,13,1
"CP7396",567.522496148937,567.513916015625,567.529663085938,987.427,983.366,989.457,4131.72833333334,4126.65250000001,1018,1017,1
"CP7397",598.931293287062,598.920166015625,598.941345214844,974.225,953.911,993.521,65114.7774358975,61404.5494756554,6445,21,1
"CP7398",455.343838823901,455.340850830078,455.346923828125,973.208,968.132,976.258,23084.9502500003,22420.8674107145,4071,20,1
"CP7399",542.509113900278,542.500305175781,542.517211914062,986.413,982.351,990.474,6199.87975000004,6192.77212500004,1357,1356,1
"CP7400",550.909151816689,550.905456542969,550.915771484375,978.29,968.132,995.551,87497.0755555559,84279.0799354976,8141,31,1
"CP7401",552.39601451165,552.39208984375,552.399780273438,980.322,974.225,984.381,27906.6567999999,25692.6487999999,5428,15,1
"CP7402",566.518537930281,566.513916015625,566.523803710938,986.413,983.366,992.506,4476.56888888888,4408.87469413233,1018,15,1
"CP7403",572.419767038477,572.416259765625,572.422790527344,972.193,968.132,978.29,107163.8526,105240.389646068,14926,37,1
"CP7404",572.921665387175,572.916320800781,572.923278808594,972.193,969.146,976.258,51352.7040000006,51126.0789213489,11194,81,1
"CP7405",626.935574916035,626.929138183594,626.94677734375,980.322,977.273,987.427,11022.167,10776.2951428571,2375,26,1
"CP7406",689.992881875654,689.989013671875,689.996154785156,971.176,968.132,974.225,41336.9430000005,40476.3067500005,8141,32,1
"CP7407",689.994202573856,689.990356445312,689.997863769531,964.068,960.007,968.132,30317.421875,29210.7533482143,5428,21,1
"CP7408",281.267927416438,281.265838623047,281.272857666016,989.457,985.397,991.489,12742.4333333333,12684.3939138576,4749,54,1
"CP7409",555.400317062891,555.390747070312,555.407104492188,970.16,966.1,975.241,42377.6759999998,40350.6607704589,7802,22,1
"CP7410",580.740089989271,580.732482910156,580.742736816406,982.351,978.29,986.413,6197.84900000004,6189.72600000004,1357,1356,1
"CP7411",580.74234059408,580.739624023438,580.743713378906,989.457,986.413,991.489,3442.54320000001,3437.46720000001,1018,1017,1
"CP7412",680.979920715284,680.97265625,680.987731933594,967.116,958.991,976.258,45482.2937058825,42555.5372058825,5428,24,1
"CP7413",693.994362109005,693.987670898438,693.998413085938,974.225,969.146,982.351,52375.0930769232,50831.3406957651,7124,29,1
"CP7414",785.057345443569,785.048583984375,785.064697265625,973.208,960.007,987.427,54771.9577777779,48517.0078118611,7124,21,1
"CP7415",387.348009829683,387.344543457031,387.353149414062,980.322,967.116,991.489,116438.960875,114668.436517857,11194,57,1
"CP7416",388.350658529508,388.348846435547,388.354309082031,983.366,979.305,987.427,17907.9947500002,17898.8575000002,3392,3391,1
"CP7417",388.35176366695,388.348846435547,388.354400634766,975.241,970.16,979.305,16546.3533333333,16537.2083333333,2714,2713,1
"CP7418",394.344436157021,394.337158203125,394.351013183594,989.457,984.381,992.506,5166.484375,4959.90625,1696,16,1
"CP7419",541.894089405714,541.888854980469,541.901672363281,977.273,967.116,992.506,67523.1816,65752.5555428571,7124,36,1
"CP7420",556.443356242278,556.437255859375,556.446594238281,989.457,985.397,992.506,6201.07914285708,6007.56288769606,2714,22,1
"CP7421",658.513187493871,658.504760742188,658.5185546875,985.397,977.273,991.489,24800.8274285714,24786.6114285714,4071,4070,1
"CP7422",689.49538763931,689.488403320312,689.503112792969,971.176,955.943,984.381,135745.746071428,119121.533328172,12212,24,1
"CP7423",821.626473036147,821.615417480469,821.638427734375,976.258,969.146,984.381,31352.6143333334,31336.3636666667,2714,2713,1
"CP7424",821.630319404951,821.615844726562,821.636169433594,963.052,957.976,969.146,15154.6436363636,15143.4736363636,2714,2713,1
"CP7425",821.625525668964,821.6181640625,821.635009765625,989.457,985.397,993.521,17568.1499999998,17560.0259999998,3392,3391,1
"CP7426",200.170931792026,200.166885375977,200.172714233398,990.474,987.427,993.521,5512.02299999994,5341.07146441942,2375,20,1
"CP7427",309.202927450049,309.202209472656,309.204742431641,990.474,987.427,993.521,6546.98733333327,6541.90899999993,1696,1695,1
"CP7428",427.345330711163,427.341491699219,427.347564697266,989.457,986.413,993.521,7922.37371428565,7713.48066131615,2035,14,1
"CP7429",485.35012813065,485.345520019531,485.351928710938,971.176,967.116,975.241,20328.75,19131.4018397177,4071,14,1
"CP7430",528.894764681081,528.890808105469,528.901611328125,984.381,966.1,997.581,65447.983483871,64736.1237928597,7802,59,1
"CP7431",576.919571355065,576.913940429688,576.92333984375,977.273,970.16,981.337,46875.321909091,46863.1288181819,6784,6783,1
"CP7432",576.922728731293,576.910522460938,576.936340332031,990.474,987.427,993.521,4477.05866666662,4470.96466666662,1357,1356,1
"CP7433",645.470437669131,645.469055175781,645.4765625,980.322,972.193,992.506,135056.05875,132114.188583708,13230,24,1
"CP7434",658.96707697262,658.960144042969,658.971313476562,974.225,965.084,991.489,59941.3811538464,58662.6247252749,5088,28,1
"CP7435",381.341655146248,381.336456298828,381.346771240234,992.506,989.457,994.537,3100.83200000002,3002.42514285717,1018,11,1
"CP7436",467.332815213347,467.330413818359,467.333740234375,983.366,979.305,987.427,34114.4305000003,33671.9265357146,11533,93,1
"CP7437",509.381084593503,509.375854492188,509.385711669922,986.413,982.351,991.489,45129.5360000002,41148.3216969698,10516,20,1
"CP7438",540.501308938108,540.499450683594,540.502319335938,986.413,981.337,990.474,64399.6064444449,64390.4694444449,14926,14925,1
"CP7439",541.503096911793,541.494567871094,541.513854980469,986.413,982.351,994.537,22389.7440000001,22304.6473820225,6106,98,1
"CP7440",550.38827104022,550.385437011719,550.389770507812,980.322,975.241,984.381,322049.931111111,317493.751231593,71449,60,1
"CP7441",671.981127219477,671.972778320312,671.984436035156,977.273,972.193,981.337,38945.312,37961.2434285715,6445,31,1
"CP7442",304.248958304982,304.247222900391,304.249755859375,990.474,988.441,995.551,17571.8571428572,17316.4791813804,5428,36,1
"CP7443",433.333476572318,433.333099365234,433.334014892578,990.474,987.427,995.551,5164.83300000002,5157.72450000001,1018,1017,1
"CP7444",466.330222281753,466.329254150391,466.335693359375,983.366,979.305,987.427,140814.159750001,139486.647857144,43170,168,1
"CP7445",667.981963028529,667.979309082031,667.983520507812,972.193,968.132,976.258,55474.1705000006,53850.3876841323,11873,35,1
"CP7446",758.232308881269,758.219421386719,758.243286132812,991.489,988.441,995.551,6095.30142857144,5947.73265306124,2062,22,1
"CP7447",300.290665361277,300.288299560547,300.29345703125,992.506,988.441,996.565,9644.20350000003,8660.83437640452,3053,12,1
"CP7448",319.283346179309,319.280151367188,319.285064697266,992.506,990.474,996.565,6199.62283333334,6194.54700000001,2375,2374,1
"CP7449",380.337433767626,380.334869384766,380.340606689453,993.521,990.474,996.565,9297.91150000001,9292.83566666668,3392,3391,1
"CP7450",477.390134746973,477.385162353516,477.393371582031,993.521,991.489,996.565,4478.04720000002,4473.98640000002,1357,1356,1
"CP7451",520.383692199388,520.37890625,520.394958496094,982.351,973.208,993.521,37896.94845,36421.3540928571,4410,30,1
"CP7452",892.660120561236,892.652648925781,892.672912597656,977.273,962.035,993.521,87854.0654193548,85997.9434657484,8141,56,1
"CP7453",460.373961076728,460.364929199219,460.382598876953,994.537,991.489,997.581,6544.83866666665,6298.98295238094,2375,13,1
"CP7454",519.882185602579,519.876220703125,519.889526367188,982.351,974.225,986.413,36518.295,36506.107,5088,5087,1
"CP7455",546.401572927517,546.399230957031,546.406127929688,970.16,966.1,974.225,94565.859375,93230.9173103933,18996,73,1
"CP7456",636.951435609151,636.942321777344,636.95654296875,975.241,971.176,978.29,23098.1417142855,22507.534530612,4749,24,1
"CP7457",645.969011637144,645.964477539062,645.975830078125,979.305,969.146,990.474,96809.8232380956,95956.7032380956,8480,55,1
"CP7458",723.993678562263,723.984802246094,723.99853515625,994.537,991.489,997.581,4821.81799999999,4816.74133333332,1357,1356,1
"CP7459",271.263810287787,271.262420654297,271.266754150391,988.441,984.381,992.506,33762.421875,33675.3805301966,7124,127,1
"CP7460",424.362889949497,424.359130859375,424.365753173828,992.506,988.441,996.565,9644.20350000003,9250.76978571431,3053,24,1
"CP7461",532.893197013781,532.882080078125,532.900573730469,989.457,981.337,1002.66,27554.3929047619,27032.1676495452,3392,21,1
"CP7462",667.442693746623,667.437194824219,667.447570800781,994.537,991.489,998.596,4132.21285714284,4126.12114285713,1018,1017,1
"CP7463",714.496743464815,714.487182617188,714.503082275391,960.007,956.959,963.052,9990.48900000012,9984.39600000012,2374,2373,1
"CP7464",714.500215734564,714.482421875,714.509155273438,991.489,985.397,994.537,12058.7066666666,12048.5511111111,1696,1695,1
"CP7465",714.496510237451,714.490600585938,714.501281738281,971.176,967.116,974.225,10334.4548571429,10326.3302857143,2375,2374,1
"CP7466",714.494176280877,714.491088867188,714.498107910156,977.273,974.225,979.305,6892.5439999999,6886.4479999999,2035,2034,1
"CP7467",714.492529420825,714.486511230469,714.494689941406,982.351,979.305,985.397,8266.84400000013,8259.7366666668,2036,2035,1
"CP7468",714.495158713445,714.490356445312,714.498840332031,996.565,994.537,1000.63,7234.42199999995,7228.32899999995,2035,2034,1
"CP7469",971.617685953776,971.614868164062,971.619323730469,995.551,993.521,998.596,2064.51000000002,2060.45000000002,678,677,1
"CP7470",280.263126788483,280.261871337891,280.264617919922,989.457,986.413,993.521,57868.2588571424,57572.4382728728,20692,145,1
"CP7471",287.221571433105,287.221221923828,287.224182128906,990.474,987.427,994.537,21705.8142857143,20163.3437239166,6784,23,1
"CP7472",287.220736055381,287.218719482422,287.223419189453,984.381,980.322,987.427,14116.62,12767.9073876405,5767,19,1
"CP7473",425.363528527076,425.361145019531,425.367340087891,997.581,993.521,999.61,11015.0010000001,10867.5602142858,3731,41,1
"CP7474",508.378656319086,508.377990722656,508.378936767578,938.678,934.615,943.754,1008121.05911111,1004730.2162834,257162,476,1
"CP7475",508.377944114024,508.375183105469,508.379486083984,986.413,982.351,990.474,122979.173875001,119927.624034411,27925,51,1
"CP7476",508.378629339536,508.377990722656,508.378814697266,939.694,939.694,943.754,466254.460000007,464559.780646074,206061,476,1
"CP7477",528.393437606315,528.388610839844,528.397521972656,982.351,974.225,994.537,96461.6880000001,91641.6504,9837,28,1
"CP7478",528.384696056232,528.378479003906,528.387878417969,968.132,963.052,976.258,27911.388923077,24697.2516923077,4410,12,1
"CP7479",667.482465397447,667.475952148438,667.487182617188,975.241,963.052,989.457,156403.924038461,145822.19445981,15604,37,1
"CP7480",679.483853566916,679.474487304688,679.486022949219,965.084,961.021,969.146,62014.0625,57778.6886160714,13908,32,1
"CP7481",840.585745502049,840.576782226562,840.599365234375,990.474,979.305,1000.63,27212.730952381,27191.405952381,2375,2374,1
"CP7482",510.884541624863,510.878448486328,510.892425537109,996.565,989.457,1010.78,16187.2031428571,15914.1569368646,2375,25,1
"CP7483",994.728647936382,994.723693847656,994.736145019531,991.489,988.441,995.551,24119.1514285715,23933.4469020867,4410,44,1
"CP7484",994.723044611921,994.715637207031,994.730133056641,985.397,981.337,988.441,16179.8674285715,16017.5130914929,3392,34,1
"CP7485",506.883851129122,506.873168945312,506.889801025391,989.457,981.337,997.581,30994.5672500001,30592.3001039326,3731,30,1
"CP7486",602.444945656559,602.437805175781,602.452514648438,989.457,983.366,1001.64,33060.7116666667,33043.4528888889,3053,3052,1
"CP7487",611.2294921875,611.227905273438,611.231018066406,999.61,996.565,1001.64,1376.33999999998,1372.27999999998,339,338,1
