,precursor_mz,precursor_rt,precursor_intensity,DeepDIA_corr,MSDIAL_corr
421,105.033459310059,381.99800000000005,19874.0,0.9763883304458899,0.9815650149971431
425,265.11939713156,397.029,197845.0,0.9874700303037115,0.9864620529859381
429,749.3731804402879,483.86,4879.0,0.5760402927744707,0.6066789892650737
438,260.19813248249903,486.249,21055.0,0.9760362193188447,0.9804396301721416
443,211.13857609941897,474.12800000000004,15734.0,0.866211673130899,0.8816150953846595
446,310.172077361717,397.029,7656.0,0.9574467089314999,0.9546923025356209
449,212.129755902771,433.85400000000004,9844.0,0.9387803629193061,0.9212889758287137
450,432.259619942177,464.504,6307.0,0.7399592869127053,0.7577808957003985
452,312.07852044112303,487.421,81221.0,0.8718263406953066,0.8718263406953066
456,480.2164327853201,495.527,5412.0,0.7518513558190479,0.6515102897650233
459,625.301148079214,496.673,41674.0,0.9201894872119645,0.9251204840019037
462,362.11050739370904,501.24199999999996,20062.0,0.9309326159116906,0.9437151430092939
464,377.09186529413904,511.74800000000005,3181.0,0.46896501876369234,0.5286789153701438
471,476.29777786556394,490.88199999999995,6048.0,0.7182709034138657,0.7785052121873367
475,196.03344762300202,532.321,2591.0,0.9789040612223014,0.4304656227195264
479,360.02237710936305,533.477,17820.0,0.8338713471263697,0.8257500366085943
486,894.4247224100301,538.129,7624.0,0.823045418352519,0.8312971740381079
493,206.08134323665698,538.129,24015.0,0.9086276617427164,0.9321629371170737
494,324.98984437754297,520.229,4634.0,0.9121222310796874,0.8811387358141093
497,554.146854149177,546.2280000000001,7784.0,0.7882910527542691,0.9277455139433776
499,314.154622921545,496.673,134737.0,0.8723599231632381,0.8531633662381057
502,266.058020149754,541.592,49608.0,0.23735045622757847,0.2680879689302472
505,530.225175392123,553.242,13377.0,0.9476890815810793,0.9543618592265497
507,342.248965148652,540.439,6546.0,0.7654211922332649,0.7381328201388644
510,140.107708114144,547.388,5774.0,0.2528438151190721,0.3048199693949852
511,274.130103581481,553.242,5862.0,0.954112141538517,0.959986246509451
513,198.056354831165,554.393,22608.0,0.8425722948611528,0.9496476026301742
519,278.059336911997,561.31,3486.0,0.9917556588401903,0.8817536960631145
533,360.10627111108596,489.73400000000004,3967.0,0.4898470289266919,0.7431713438947724
550,378.113698580102,588.845,53251.0,0.9103932689901697,0.9147729596219302
552,601.231178111154,578.08,12464.0,0.8895816076640675,0.914566474282104
553,392.093536977879,550.888,41754.0,0.9356146060292628,0.949360252028083
562,330.128155257685,578.08,29856.0,0.9245923705561526,0.9455718218581762
565,363.11941220279,598.2869999999999,4354.0,0.6922237616930617,0.8070070590698722
569,346.116036048538,554.393,244161.0,0.9359858571327648,0.9365064013942515
590,475.20951279588303,620.4259999999999,18717.0,0.7847963639065447,0.9268422308850185
595,444.306868852755,612.1569999999999,11841.0,0.3222547934532986,0.7305955720544465
598,319.114208719114,562.481,18573.0,0.8859294736949349,0.9019652991971072
600,642.354516603071,611.001,3763.0,0.709140476539773,0.8622912687384278
604,518.335812406945,598.2869999999999,5477.0,0.7712102620421537,0.9677004113443634
605,593.322786459064,619.258,41070.0,0.8399649774763115,0.8918322908320775
608,378.12974909534597,625.1469999999999,85414.0,0.9894173509245343,0.9932691270935142
611,723.22960832347,630.95,16659.0,0.9434173350758754,0.9825455367678088
627,532.3675657752291,629.797,8547.0,0.8206817653664185,0.8843399795342634
628,190.08602714422298,658.0110000000001,18277.0,0.9764147136237524,0.9833784400838695
629,190.087355257301,658.0110000000001,18277.0,0.9764147136237524,0.9833784400838695
630,288.208464076048,627.503,147864.0,0.9862843741011781,0.9853016433160218
