"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7840",845.610921279623,845.5771484375,845.623474121094,1022.94,1005.23,1034.75,567718.8,562112.1648,36293,141,1
"CP7841",845.61707413717,845.598876953125,845.627176920573,1065.26,1057.39,1070.18,195123.256153846,191884.489273504,20466,75,1
"CP7842",845.617161632323,845.572509765625,845.639053344727,1150.9,1140.07,1164.69,44323.8784000002,44083.1932800002,3391,206,1
"CP7843",853.546017364922,853.527791341146,853.576477050781,1149.92,1141.06,1159.76,68784.5052631581,68713.6421052633,5839,769,1
"CP7844",853.560874240834,853.5400390625,853.573181152344,1030.81,1019.01,1040.66,195435.53409091,195354.051363637,14786,1858,1
"CP7845",853.566309557744,853.504364013672,853.605865478516,1056.4,1043.61,1070.18,111787.862592593,111688.667925927,5767,759,1
"CP7846",853.604928976948,853.59580485026,853.617523193359,1085.93,1080.03,1095.78,33324.046875,33307.3125,2816,989,1
"CP7847",853.581818060307,853.565002441406,853.605102539062,1130.23,1123.34,1141.06,77574.2222222223,77555.5177777779,6185,2173,1
"CP7848",853.597021356111,853.577270507812,853.620330810547,1075.11,1070.18,1080.03,23789.7199999998,23778.8849999998,3450,1212,1
"CP7849",853.597705735306,853.578948974609,853.606857299805,1106.6,1103.65,1112.51,14852.3133333332,14842.4688888887,2088,733,1
"CP7850",858.545580046595,858.510482788086,858.585693359375,1098.73,1093.81,1101.68,12237.8500000002,12204.2057500002,2026,252,1
"CP7851",858.553444484391,858.528121948242,858.581604003906,1119.4,1114.48,1125.3,14369.9436363636,14325.0898181817,1836,228,1
"CP7852",858.558835937549,858.502517700195,858.588684082031,1104.63,1101.68,1114.48,15733.1692307692,15680.7876923076,1534,191,1
"CP7853",858.578765750842,858.546337890625,858.594767252604,1068.21,1063.29,1072.15,27207.0911111115,26786.0517948722,3730,36,1
"CP7854",858.561094196119,858.537292480469,858.57314453125,1058.37,1053.45,1063.29,25734.5519999998,25271.6178461536,3752,37,1
"CP7855",860.590223372089,860.540323893229,860.617899576823,1148.93,1112.51,1172.56,67271.7508196721,67045.9234426229,2523,322,1
