"","precursor_mz","precursor_rt","precursor_intensity","mz","intensity"
"124",770.857569135724,39.061,22529,498.904312133789,896.5
"125",770.857569135724,39.061,22529,566.887939453125,422.5
"126",770.857569135724,39.061,22529,634.880828857422,573
"127",770.857569135724,39.061,22529,702.868743896484,224
"128",770.857569135724,39.061,22529,770.853363037109,264
"129",778.868095633217,40.276,2124,226.951324462891,132
"130",778.868095633217,40.276,2124,242.924880981445,132
"131",778.868095633217,40.276,2124,378.897155761719,105
"132",778.868095633217,40.276,2124,430.912384033203,105
"133",786.819815277561,40.276,1758,226.949188232422,184
"134",786.819815277561,40.276,1758,242.92707824707,211
"135",786.819815277561,40.276,1758,327.053771972656,105
"136",786.819815277561,40.276,1758,378.897155761719,211
"137",786.819815277561,40.276,1758,446.894378662109,184
"138",786.819815277561,40.276,1758,514.875915527344,105
"139",816.87590901199,39.061,1703,226.949157714844,184
"140",816.87590901199,39.061,1703,362.926635742188,132
"141",816.87590901199,39.061,1703,408.918731689453,264
"142",816.87590901199,39.061,1703,430.914916992188,184
"143",816.87590901199,39.061,1703,476.904235839844,105
"144",816.87590901199,39.061,1703,544.889892578125,158
"145",816.87590901199,39.061,1703,612.877807617188,132
"146",816.87590901199,39.061,1703,680.871520996094,132
"147",838.811077592697,39.061,18856,158.965408325195,132
"148",838.811077592697,39.061,18856,226.949676513672,940
"149",838.811077592697,39.061,18856,294.936645507812,184
"150",838.811077592697,39.061,18856,362.924835205078,826
"151",838.811077592697,39.061,18856,430.916046142578,1563
"152",838.811077592697,39.061,18856,498.900207519531,428
"153",838.811077592697,39.061,18856,566.893676757812,645
"154",838.811077592697,39.061,18856,634.876281738281,356
"155",838.811077592697,39.061,18856,702.867736816406,950
"156",838.811077592697,39.061,18856,770.858215332031,211
"157",838.811077592697,39.061,18856,838.842224121094,358
"158",846.829049488294,40.276,2086,226.947067260742,184
"159",846.829049488294,40.276,2086,242.922668457031,158
"160",846.829049488294,40.276,2086,362.929565429688,132
"161",846.829049488294,40.276,2086,430.906524658203,132
"162",861.85991672319,39.061,1140,226.951293945312,132
"163",880.826840760556,40.276,1718,226.951324462891,132
"164",880.826840760556,40.276,1718,242.924880981445,132
"165",880.826840760556,40.276,1718,362.924194335938,105
"166",906.825527972536,39.061,10975,872.844482421875,107.5
"167",914.827056294686,40.276,1351,226.949188232422,132
"168",914.827056294686,40.276,1351,242.92707824707,132
"169",914.827056294686,40.276,1351,430.915313720703,105
"170",940.808851590801,40.276,4123,158.963317871094,132
"171",940.808851590801,40.276,4123,226.951293945312,773
"172",940.808851590801,40.276,4123,362.929321289062,184
"173",940.808851590801,40.276,4123,430.914916992188,211
"174",940.808851590801,40.276,4123,906.831298828125,211
"175",940.808851590801,40.276,4123,940.828002929688,105
"176",948.849844438998,40.276,1271,226.947067260742,105
"177",952.888671447145,39.061,1269,226.951324462891,211
"178",952.888671447145,39.061,1269,680.868713378906,105
"179",952.888671447145,39.061,1269,816.842651367188,105
"180",952.888671447145,39.061,1269,952.821044921875,105
"181",295.167312690946,36.569,7084,70.0648040771484,181
"182",295.167312690946,36.569,7084,90.9757080078125,286
"183",295.167312690946,36.569,7084,114.054580688477,109
"184",295.167312690946,36.569,7084,116.069717407227,199
"185",327.057300058785,40.276,2135,191.076156616211,530
"186",340.942513259381,37.841,2118,90.9757537841797,633
"187",340.942513259381,37.841,2118,204.955596923828,132
"188",463.024294132525,40.276,1256,122.920150756836,106
"189",463.024294132525,40.276,1256,191.078079223633,397
