precursor_mz,precursor_rt,precursor_intensity,mz,intensity
391.2843,44.900999999999996,758.75,349.2757568359375,20.0
391.2843,44.900999999999996,758.75,352.3299865722656,26.0
391.2843,44.900999999999996,758.75,353.3315734863281,17.0
391.2843,44.900999999999996,758.75,354.3319396972656,28.0
391.2843,44.900999999999996,758.75,355.07049560546875,80.0
391.2843,44.900999999999996,758.75,356.0626525878906,47.0
391.2843,44.900999999999996,758.75,357.06951904296875,38.0
391.2843,44.900999999999996,758.75,357.08819580078125,23.0
391.2843,44.900999999999996,758.75,357.1495056152344,46.0
391.2843,44.900999999999996,758.75,357.17083740234375,18.0
391.2843,44.900999999999996,758.75,358.1285400390625,18.0
391.2843,44.900999999999996,758.75,358.3020935058594,26.0
391.2843,44.900999999999996,758.75,358.318115234375,30.0
391.2843,44.900999999999996,758.75,363.30731201171875,24.0
391.2843,44.900999999999996,758.75,365.1002197265625,16.0
391.2843,44.900999999999996,758.75,365.2943115234375,19.0
391.2843,44.900999999999996,758.75,370.3127136230469,19.0
391.2843,44.900999999999996,758.75,371.1709899902344,47.0
391.2843,44.900999999999996,758.75,372.160888671875,26.0
391.2843,44.900999999999996,758.75,375.0920715332031,21.0
391.2843,44.900999999999996,758.75,375.11663818359375,18.0
391.2843,44.900999999999996,758.75,375.2833251953125,18.0
391.2843,44.900999999999996,758.75,375.3243103027344,22.0
391.2843,44.900999999999996,758.75,376.24310302734375,37.0
391.2843,44.900999999999996,758.75,376.2786865234375,52.0
391.2843,44.900999999999996,758.75,377.3000183105469,31.0
391.2843,44.900999999999996,758.75,378.33099365234375,18.0
391.2843,44.900999999999996,758.75,379.25897216796875,18.0
391.2843,44.900999999999996,758.75,380.12481689453125,27.0
391.2843,44.900999999999996,758.75,381.13482666015625,17.0
391.2843,44.900999999999996,758.75,385.12188720703125,17.0
436.3424,44.900999999999996,681.0625,38.966060638427734,47.0
436.3424,44.900999999999996,681.0625,41.0411491394043,47.0
436.3424,44.900999999999996,681.0625,42.03575134277344,47.0
436.3424,44.900999999999996,681.0625,43.02096939086914,23.0
436.3424,44.900999999999996,681.0625,43.05891036987305,47.0
436.3424,44.900999999999996,681.0625,45.039859771728516,72.0
436.3424,44.900999999999996,681.0625,45.04838180541992,48.0
436.3424,44.900999999999996,681.0625,46.04032897949219,48.0
436.3424,44.900999999999996,681.0625,46.06809997558594,824.0
436.3424,44.900999999999996,681.0625,47.07115173339844,23.0
436.3424,44.900999999999996,681.0625,55.05768966674805,47.0
436.3424,44.900999999999996,681.0625,57.07503890991211,93.0
436.3424,44.900999999999996,681.0625,58.88488006591797,48.0
436.3424,44.900999999999996,681.0625,59.062530517578125,790.0
436.3424,44.900999999999996,681.0625,60.06412124633789,47.0
436.3424,44.900999999999996,681.0625,62.98386001586914,23.0
436.3424,44.900999999999996,681.0625,67.05547332763672,70.0
436.3424,44.900999999999996,681.0625,69.03238677978516,23.0
436.3424,44.900999999999996,681.0625,69.07343292236328,70.0
436.3424,44.900999999999996,681.0625,70.067626953125,47.0
436.3424,44.900999999999996,681.0625,71.0499267578125,93.0
436.3424,44.900999999999996,681.0625,71.05706787109375,23.0
436.3424,44.900999999999996,681.0625,71.08917236328125,186.0
436.3424,44.900999999999996,681.0625,72.08097076416016,47.0
436.3424,44.900999999999996,681.0625,72.08936309814453,47.0
436.3424,44.900999999999996,681.0625,73.02899932861328,47.0
436.3424,44.900999999999996,681.0625,73.04708862304688,140.0
436.3424,44.900999999999996,681.0625,73.0615463256836,23.0
436.3424,44.900999999999996,681.0625,74.09854125976562,70.0
