"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP0168",392.149763088974,392.147623269171,392.15140236033,129.468,125.392,132.524,1848.20685714286,1842.09371428572,611,124,1
"CP0169",356.19129644511,356.184317069325,356.196716595858,129.468,125.392,134.562,2521.75,2513.59888888889,611,610,1
"CP0170",251.107623063449,251.104156076316,251.109367582114,130.487,127.43,135.581,2726.50949999999,2703.05082379517,677,76,1
"CP0171",404.141622821797,404.137689449385,404.145845272919,130.487,126.411,135.581,4147.89666666666,4139.74555555555,916,915,1
"CP0172",422.099080399802,422.093658279612,422.105039737906,128.449,123.355,135.581,5703.42899999999,5571.74172289156,1128,51,1
"CP0173",227.124603047128,227.123837182218,227.126160693535,129.468,124.373,134.562,46738.9808,46386.7325142858,9205,250,1
"CP0174",295.072985338355,295.063119038172,295.079000206101,132.524,127.43,136.6,5116.85999999999,4885.13555555555,877,20,1
"CP0175",115.068482829622,115.066308578163,115.07114267587,129.468,124.373,135.581,16548.1025454545,16515.3255903614,3452,376,1
"CP0176",228.128438946195,228.120057240548,228.131181362469,129.468,121.317,136.6,7022.02906666667,6331.94944578313,1586,33,1
"CP0177",272.091683028468,272.081575637561,272.098224322035,129.468,124.373,135.581,3832.11709090909,3246.89937662337,875,20,1
"CP0178",364.047271647181,364.04540738171,364.052100485842,129.468,121.317,137.619,10452.638625,10333.6880376506,1580,79,1
"CP0179",119.034835913046,119.032616299346,119.037219294071,129.468,125.392,133.543,2357.67675,2267.96664759036,611,22,1
"CP0180",250.104009761157,250.101286308788,250.106495278722,131.506,123.355,138.638,13329.8326,13157.6441333333,3476,120,1
"CP0181",155.100804811808,155.098462412489,155.102403229412,132.524,130.487,136.6,2377.957,2350.89040361446,798,65,1
"CP0182",645.233317278547,645.228842819577,645.238722828124,137.619,132.524,141.694,3142.25333333333,3134.10222222222,757,756,1
"CP0183",138.04713238152,138.041457745942,138.048499702928,132.524,126.411,137.619,10514.1229090909,10150.9555128645,1934,53,1
"CP0184",425.190689984346,425.185925478923,425.206497487915,134.562,131.506,139.657,3793.271625,3556.892625,748,15,1
"CP0185",182.105784336223,182.102584864063,182.110296898196,132.524,126.411,137.619,7082.43709090909,6630.38109090909,1221,28,1
"CP0186",351.088313382038,351.082704865183,351.093622631853,138.638,132.524,143.732,2764.30036363636,2673.69111062432,506,27,1
"CP0187",269.107295466195,269.105907577937,269.115852019008,125.392,121.317,133.543,17801.056,17491.4844528302,3040,96,1
"CP0188",617.202642379711,617.200639780551,617.206851720296,140.675,137.619,146.789,4652.24666666666,4643.07666666666,1109,1108,1
"CP0189",321.098779160746,321.096254754763,321.102431319158,141.694,135.581,150.864,6547.23720000001,6483.04860000001,1120,94,1
"CP0190",299.111841670155,299.103759590863,299.119236597995,141.694,136.6,146.789,8775.78569999999,8610.86945714285,1835,83,1
"CP0191",352.097062222439,352.079803083808,352.107658550203,139.657,133.543,143.732,2550.3067,2250.96843571428,720,16,1
"CP0192",137.044918830807,137.043878566133,137.045710873332,132.524,126.411,137.619,164951.192727273,164667.353766234,32288,839,1
"CP0193",336.070076925974,336.067650754296,336.070528273317,140.675,136.6,148.827,18598.2859166667,18418.9872735944,3859,143,1
"CP0194",416.104613782934,416.10133411866,416.107405746322,135.581,130.487,143.732,5379.50769230769,5265.97912087912,804,39,1
"CP0195",154.097282961093,154.095421537207,154.099144523045,132.524,126.411,136.6,17944.8668,17334.03625,2848,59,1
"CP0196",317.098407827841,317.094203280427,317.101154586459,130.487,128.449,135.581,2302.61714285714,2145.20371428571,611,21,1
"CP0197",371.187033285875,371.180776077661,371.205360973911,138.638,131.506,142.713,6083.36336363636,5826.40286363636,903,28,1
"CP0198",356.163926712239,356.153436985491,356.167834071127,140.675,136.6,147.808,14157.7418181818,13861.2392727273,2569,116,1
"CP0199",161.136048113663,161.134575849712,161.137746960006,141.694,132.524,151.883,6901.99294736842,6848.23090519975,734,63,1
"CP0200",114.127439017693,114.126938928004,114.128623664463,142.713,133.543,148.827,22970.8330666667,22899.9374040161,2616,196,1
"CP0201",160.132489376244,160.131583139048,160.133384128432,141.694,133.543,151.883,58363.9933333333,58261.0241767068,5726,342,1
"CP0202",313.134870514443,313.129660182047,313.149630687792,137.619,131.506,144.751,37986.66,37163.5778571429,7957,135,1
"CP0203",350.094833576331,350.082278163565,350.110133816008,139.657,117.241,161.053,18181.98,16562.9737674419,2985,59,1
"CP0204",415.120064401513,415.097805675672,415.140127316124,148.827,142.713,153.921,3571.27636363636,3200.85484734134,638,15,1
"CP0205",320.096492978016,320.094835808622,320.097175984359,141.694,136.6,147.808,41313.7069090909,41074.4088311688,6832,172,1
"CP0206",298.120794616066,298.11459978307,298.129365751049,140.675,136.6,147.808,58662.672,58475.1927272727,11092,466,1
"CP0207",370.183264699846,370.180997261469,370.194755657642,137.619,131.506,145.77,32135.7731428572,31469.4405714286,5230,78,1
"CP0208",114.06565460718,114.065248323514,114.067002008828,128.449,124.373,134.562,293260.8169,292912.92665298,54628,1627,1
"CP0209",114.06545079437,114.065248323514,114.065705416904,129.468,129.468,134.562,159223.158000001,159033.418307285,48277,1627,1
"CP0210",335.125043069587,335.11410185971,335.133517714633,138.638,132.524,143.732,6642.26836363636,6258.79464935065,1183,20,1
"CP0211",377.125732918963,377.123584762159,377.129912181146,147.808,141.694,153.921,67832.33925,67563.6705667671,10453,351,1
"CP0212",399.11016026888,399.10896140947,399.111436357644,147.808,141.694,153.921,13175.6114166667,13052.5313462733,1778,87,1
"CP0213",399.127289927469,399.111436357644,399.1446125837,147.808,141.694,153.921,13237.7653333333,13065.1694432731,1778,55,1
"CP0214",298.111606433987,298.099986628973,298.11493030455,140.675,136.6,147.808,58563.8378181818,58326.2864415584,11016,342,1
"CP0215",559.147265224996,559.135006807751,559.154159355773,177.355,173.28,183.468,3891.816,3880.6092,1168,1167,1
"CP0216",270.093062282859,270.089728886475,270.104071997488,177.355,172.261,184.487,3518.0315,3445.54878571429,564,46,1
"CP0217",307.044777937575,307.034312488901,307.058848253167,178.374,170.223,186.525,11811.817875,11540.8699017857,2336,75,1
"CP0218",334.120060566646,334.112648039115,334.129335671421,138.638,132.524,142.713,38766.0883,37789.3998714285,7257,70,1
"CP0219",292.072591569332,292.070287147677,292.075183514395,177.355,173.28,183.468,3512.8224,3430.05410602409,718,45,1
"CP0220",268.103972905953,268.102548176194,268.104951666122,126.411,121.317,131.506,124449.4649,124208.49505,23008,582,1
"CP0221",291.069942234873,291.068621983667,291.071155952259,177.355,172.261,184.487,26570.1545,26309.9881309524,4329,141,1
"CP0222",327.138191406699,327.127677448124,327.142884427904,177.355,172.261,183.468,13799.8922727273,13309.9862727273,2859,68,1
"CP0223",269.092270124976,269.086850175683,269.104703734393,178.374,167.166,189.582,25769.2298181818,25261.1338181818,3841,151,1
"CP0224",137.047825543231,137.045499067751,137.054421855884,177.355,172.261,183.468,34722.3424545454,34320.1583171717,5658,141,1
"CP0225",120.10111604062,120.095464562341,120.103067479538,195.695,190.6,200.789,3528.4507,3490.02361428571,646,74,1
"CP0226",487.177752409802,487.174251238623,487.180585520757,203.846,198.751,207.921,10491.4988888889,10424.6888888889,2628,164,1
"CP0227",302.133304773877,302.125082656813,302.143583475439,203.846,197.733,207.921,5106.22559999999,4512.26519999999,1050,27,1
"CP0228",302.163357680753,302.155757111531,302.175277303795,203.846,194.676,211.997,6511.67711764707,4924.59137985391,1052,19,1
"CP0229",244.089518115178,244.080928535408,244.092041052924,202.827,197.733,208.94,19171.1017272727,18883.795,3283,37,1
"CP0230",244.100622552496,244.091947662076,244.109636932889,202.827,197.733,208.94,19314.7550909091,19077.5742181818,3397,151,1
