,exid,precursor_mz,precursor_rt,precursor_intensity,mz,intensity
10,380,537.160705626906,275.16700000000003,1319,415.02452221355185,257.0
11,380,537.160705626906,275.16700000000003,1319,503.10396379169504,282.0
12,380,537.160705626906,275.16700000000003,1319,536.1691028001908,233.0
0,381,537.167604077927,315.922,1324,73.04830579528387,186.0
1,381,537.167604077927,315.922,1324,147.06435985534623,442.0
2,381,537.167604077927,315.922,1324,149.04682300843274,279.0
3,381,537.167604077927,315.922,1324,281.05408572813474,1321.0
4,381,537.167604077927,315.922,1324,282.04821059890105,442.0
5,381,537.167604077927,315.922,1324,299.0607138957536,256.0
6,381,537.167604077927,315.922,1324,415.03569858471246,256.0
7,381,537.167604077927,315.922,1324,503.11621554705494,233.0
0,382,537.1706845876349,325.092,1289,133.08480678876623,279.0
1,382,537.1706845876349,325.092,1289,147.06611783410185,398.0
2,382,537.1706845876349,325.092,1289,149.04342868968675,233.0
3,382,537.1706845876349,325.092,1289,221.08079904378673,186.0
4,382,537.1706845876349,325.092,1289,281.05670186499015,1364.0
5,382,537.1706845876349,325.092,1289,299.058555476013,328.0
6,382,537.1706845876349,325.092,1289,326.95850072015463,163.0
7,382,537.1706845876349,325.092,1289,415.03905341975553,233.0
0,383,537.161703526853,4.146,1388,73.04838191789446,163.0
1,383,537.161703526853,4.146,1388,89.06257024864473,186.0
2,383,537.161703526853,4.146,1388,133.08502495734766,186.0
3,383,537.161703526853,4.146,1388,147.06464930868697,399.0
4,383,537.161703526853,4.146,1388,149.05056292120577,233.0
5,383,537.161703526853,4.146,1388,221.08746122880953,279.0
6,383,537.161703526853,4.146,1388,281.0500810506882,1480.0
7,383,537.161703526853,4.146,1388,282.0536771696786,532.0
8,383,537.161703526853,4.146,1388,283.0495688375297,419.0
9,383,537.161703526853,4.146,1388,299.0639395083408,303.0
10,383,537.161703526853,4.146,1388,326.964155803339,279.0
11,383,537.161703526853,4.146,1388,327.1937616168004,209.0
12,383,537.161703526853,4.146,1388,341.0159897119154,186.0
13,383,537.161703526853,4.146,1388,415.03401304563033,307.0
14,383,537.161703526853,4.146,1388,503.10506045132234,303.0
15,383,537.161703526853,4.146,1388,519.1460995962569,163.0
16,383,537.161703526853,4.146,1388,536.1637529064624,233.0
0,384,537.1684267898099,14.335,1355,73.04838191789446,256.0
1,384,537.1684267898099,14.335,1355,147.06464930868697,518.0
2,384,537.1684267898099,14.335,1355,149.04711856252374,258.0
3,384,537.1684267898099,14.335,1355,221.08326630511127,233.0
4,384,537.1684267898099,14.335,1355,281.05244591836276,1551.0
5,384,537.1684267898099,14.335,1355,282.05604625591104,453.0
6,384,537.1684267898099,14.335,1355,283.04482233739293,349.0
7,384,537.1684267898099,14.335,1355,299.0663789867826,303.0
8,384,537.1684267898099,14.335,1355,327.19120999834564,163.0
9,384,537.1684267898099,14.335,1355,341.01338475457237,233.0
10,384,537.1684267898099,14.335,1355,415.0426344780611,353.0
11,384,537.1684267898099,14.335,1355,503.12088082856513,284.0
12,384,537.1684267898099,14.335,1355,536.1539538994263,286.0
0,385,537.163779256623,79.543,1640,73.04726316481623,209.0
1,385,537.163779256623,79.543,1640,89.06134476625243,489.0
2,385,537.163779256623,79.543,1640,133.0819279093147,256.0
3,385,537.163779256623,79.543,1640,147.0631127044569,475.0
4,385,537.163779256623,79.543,1640,149.04557279937114,233.0
