"","precursor_mz","precursor_rt","mz","intensity"
"54",191.018367341264,39.351,59.0186882019043,23
"55",191.018367341264,39.351,67.0191879272461,47
"56",191.018367341264,39.351,73.0323104858398,23
"57",191.018367341264,39.351,85.0291442871094,116
"58",191.018367341264,39.351,87.0087432861328,256
"59",191.018367341264,39.351,87.0206069946289,71
"60",191.018367341264,39.351,99.0102157592773,23
"61",191.018367341264,39.351,111.007034301758,518
"62",191.018367341264,39.351,111.027877807617,47
"63",191.018367341264,39.351,129.018356323242,47
"64",191.018367341264,39.351,136.944152832031,70
"65",191.018367341264,39.351,154.953552246094,70
"66",191.018367341264,39.351,154.995758056641,47
"67",191.018367341264,39.351,173.006988525391,23
"68",191.018367341264,39.351,191.016860961914,70
"69",165.040098448257,39.351,165.044342041016,70
"70",210.841674108328,43.424,92.9258499145508,116
"71",210.841674108328,43.424,92.9367446899414,47
"72",210.841674108328,43.424,92.9449157714844,23
"73",210.841674108328,43.424,94.9246292114258,163
"74",366.74951951675,43.424,85.0096664428711,23
"75",366.74951951675,43.424,92.9276580810547,186
"76",366.74951951675,43.424,94.9250717163086,140
"77",366.74951951675,43.424,113.022521972656,23
"78",366.74951951675,43.424,145.097961425781,23
"79",366.74951951675,43.424,150.887252807617,47
"80",366.74951951675,43.424,152.887588500977,93
"81",366.74951951675,43.424,157.03044128418,47
"82",366.74951951675,43.424,198.894622802734,23
"83",366.74951951675,43.424,200.889831542969,23
"84",366.74951951675,43.424,210.838775634766,23
"85",366.74951951675,43.424,248.829849243164,23
"86",366.74951951675,43.424,248.892242431641,23
"87",366.74951951675,43.424,250.830429077148,70
"88",366.74951951675,43.424,268.802185058594,47
"89",366.74951951675,43.424,367.101623535156,47
"90",276.831704312445,43.424,92.9314956665039,93
"91",276.831704312445,43.424,94.9234466552734,70
"92",276.831704312445,43.424,96.9198303222656,47
"93",276.831704312445,43.424,115.019348144531,93
"94",276.831704312445,43.424,157.024780273438,23
"95",276.831704312445,43.424,167.021011352539,23
"96",276.831704312445,43.424,187.039367675781,23
"97",276.831704312445,43.424,214.956481933594,23
"98",276.831704312445,43.424,277.074645996094,70
"99",284.772211697928,43.424,92.9276580810547,349
"100",284.772211697928,43.424,92.9480895996094,23
"101",284.772211697928,43.424,94.9264526367188,140
"102",284.772211697928,43.424,144.965255737305,23
"103",284.772211697928,43.424,150.887252807617,23
"104",284.772211697928,43.424,182.89387512207,23
"105",284.772211697928,43.424,224.898727416992,23
"106",306.794556579309,43.424,71.0121459960938,23
"107",306.794556579309,43.424,92.9274063110352,326
"108",306.794556579309,43.424,92.9491958618164,23
"109",306.794556579309,43.424,94.9248199462891,140
"110",306.794556579309,43.424,94.9399642944336,23
"111",306.794556579309,43.424,125.068092346191,23
"112",306.794556579309,43.424,125.101272583008,23
"113",306.794556579309,43.424,145.061889648438,23
"114",306.794556579309,43.424,145.095916748047,47
"115",306.794556579309,43.424,150.885162353516,47
"116",306.794556579309,43.424,161.002380371094,23
"117",306.794556579309,43.424,166.014785766602,47
"118",306.794556579309,43.424,170.95622253418,23
"119",306.794556579309,43.424,187.072204589844,93
"120",306.794556579309,43.424,187.106994628906,70
"121",306.794556579309,43.424,188.939392089844,163
"122",306.794556579309,43.424,188.997650146484,47
"123",306.794556579309,43.424,208.843200683594,47
"124",306.794556579309,43.424,242.983596801758,23
"125",306.794556579309,43.424,246.896728515625,70
"126",306.794556579309,43.424,246.956665039062,70
"127",306.794556579309,43.424,248.889541625977,23
"128",306.794556579309,43.424,248.951934814453,23
"129",316.806107301958,43.424,92.9272155761719,256
"130",316.806107301958,43.424,94.9232482910156,256
"131",316.806107301958,43.424,96.9238052368164,47
"132",316.806107301958,43.424,150.881591796875,23
"133",316.806107301958,43.424,198.892211914062,116
"134",316.806107301958,43.424,200.889404296875,140
"135",316.806107301958,43.424,256.845886230469,93
"136",316.806107301958,43.424,258.844268798828,163
"137",320.855571323297,44.804,89.0229568481445,23
"138",320.855571323297,44.804,92.9274063110352,186
"139",320.855571323297,44.804,92.9437484741211,23
"140",320.855571323297,44.804,94.9248199462891,140
"141",320.855571323297,44.804,96.9281692504883,47
"142",320.855571323297,44.804,102.957649230957,23
"143",320.855571323297,44.804,146.980545043945,93
"144",320.855571323297,44.804,150.885162353516,70
"145",320.855571323297,44.804,173.965194702148,23
"146",320.855571323297,44.804,188.933563232422,23
"147",320.855571323297,44.804,202.892562866211,23
