"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP02139",420.06544083305,420.058868408203,420.070495605469,71.992,68.056,75.929,921.141000000001,903.765238853504,283,22,1
"CP02140",430.089367285229,430.085021972656,430.10009765625,72.976,68.056,77.896,3590.616,3563.8512,1197,154,1
"CP02141",432.084939901836,432.074676513672,432.091583251953,71.992,69.04,77.896,1680.672,1635.54046153846,598,34,1
"CP02142",434.100057863971,434.08837890625,434.105316162109,72.976,69.04,78.881,2699.3863,2684.88806242038,798,98,1
"CP02143",435.096214395773,435.082611083984,435.104370117188,71.992,65.103,78.881,1308.91,1218.43915306122,214,13,1
"CP02144",436.093696271869,436.085418701172,436.096771240234,72.976,67.071,75.929,1298.18911111111,1277.38879688606,321,17,1
"CP02145",448.097085113058,448.092987060547,448.101928710938,72.976,69.04,78.881,1978.041,1965.97946666667,590,88,1
"CP02146",461.081660082161,461.074859619141,461.088653564453,71.992,66.087,76.913,1761.68545454545,1748.31328093842,399,54,1
"CP02147",478.087889353434,478.084075927734,478.099243164062,71.992,68.056,77.896,2192.352,2183.496,598,128,1
"CP02148",479.090903735303,479.079650878906,479.097686767578,72.976,69.04,77.896,1504.536,1497.60384615385,598,110,1
"CP02149",497.060086084033,497.051391601562,497.064239501953,72.976,69.04,77.896,995.807999999999,975.4884,295,53,1
"CP02150",544.700449942817,544.692016601562,544.704284667969,71.992,69.04,75.929,2588.29571428571,2582.39085714286,792,791,1
"CP02151",585.284687926104,585.279968261719,585.287109375,71.992,68.056,75.929,143362.409375,143355.5205,50781,50780,1
"CP02152",586.28883497068,586.283508300781,586.291015625,71.992,68.056,75.929,40347.15675,40340.267875,14244,14243,1
"CP02153",587.289111984417,587.2861328125,587.291442871094,71.992,68.056,75.929,12355.689375,12348.8005,4388,4387,1
"CP02154",588.291311011875,588.284362792969,588.294067382812,71.992,68.056,75.929,2270.376375,2263.4875,642,641,1
"CP02155",593.267810552179,593.258850097656,593.276672363281,71.992,69.04,75.929,1630.72471428571,1624.81985714286,433,432,1
"CP02156",607.255040123372,607.25,607.262451171875,71.992,68.056,75.929,15445.841875,15438.953,6029,6028,1
"CP02157",609.254029007744,609.246887207031,609.26220703125,71.992,68.056,75.929,4106.753625,4087.90921854839,1197,88,1
